Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,1111,1,Apr 4,CIN,,PHI,W6-2,CG,4,4,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,.250,.250,.250,.500,3,2.38,0.049,0.38,9.00,13.20,1B
2,1112,2,Apr 6,CIN,,PHI,W3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,3,2.34,-0.204,-0.96,0.00,0.00,1B
3,1113,3,Apr 7,CIN,,PHI,W10-6,CG,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.231,.167,.397,3,.34,0.038,-0.06,9.00,12.40,1B
4,1114,4,Apr 8,CIN,,PIT,L5-6,CG,5,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.125,.222,.125,.347,3,1.16,0.010,0.51,4.00,6.50,1B
5,1115,5,Apr 9,CIN,,PIT,W5-1,CG,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.211,.318,.211,.529,3,.61,0.044,0.71,8.00,9.00,1B
6,1116,6,Apr 10,CIN,,PIT,W2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.174,.269,.174,.443,3,1.74,-0.254,-1.86,0.00,0.00,1B
7,1117,7,Apr 11,CIN,@,CHC,L3-5,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.300,.222,.522,3,.59,0.094,0.93,6.00,6.00,1B
8,1118,8,Apr 13,CIN,@,CHC,L2-9,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.233,.324,.233,.557,3,.73,0.066,-0.03,5.00,6.00,1B
9,1119,9,Apr 14,CIN,@,CHC,L1-8,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.242,.342,.242,.585,3,1.12,-0.015,-0.08,5.00,6.00,1B
10,1120,10,Apr 15,CIN,@,STL,L3-14,GS-8,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.243,.333,.324,.658,3,.58,0.176,2.03,18.00,25.70,1B
11,1121,11,Apr 16,CIN,@,STL,W9-8,CG,5,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.244,.340,.341,.682,3,.87,-0.066,-0.26,9.00,12.20,1B
12,1122,12,Apr 17,CIN,@,STL,L3-4,CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.227,.314,.318,.632,3,1.02,-0.050,-0.32,2.00,3.50,1B
13,1123,13,Apr 18,CIN,,COL,L1-5,CG,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.213,.309,.298,.607,3,.89,-0.031,-0.38,2.00,3.00,1B
14,1124,14,Apr 19,CIN,,COL,W4-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.196,.288,.275,.563,3,.46,-0.051,-0.97,0.00,0.00,1B
15,1125,15,Apr 20,CIN,,COL,W6-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.182,.270,.255,.524,3,.52,-0.053,-0.41,0.00,0.00,1B
16,1126,16,Apr 21,CIN,,CHC,L0-16,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.172,.258,.241,.499,3,.25,-0.019,-0.42,0.00,0.00,1B
17,1127,17,Apr 22,CIN,,CHC,L1-8,CG,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.180,.271,.246,.517,3,.76,-0.098,-0.63,5.00,6.00,1B
18,1128,18,Apr 23,CIN,,CHC,W13-5,CG,5,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.197,.280,.303,.583,3,.50,0.016,1.55,19.00,25.20,1B
19,1129,19,Apr 24,CIN,,CHC,L0-9,GS-8,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.206,.295,.309,.604,3,.19,-0.001,0.54,5.00,6.00,1B
20,1130,20,Apr 25,CIN,@,NYM,L3-5,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.208,.293,.306,.598,3,1.57,0.143,0.51,5.00,6.50,1B
21,1131,21,Apr 26,CIN,@,NYM,L3-4,CG,4,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,.205,.302,.301,.604,3,1.00,-0.004,0.14,6.00,9.50,1B
22,1132,22,Apr 27,CIN,@,NYM,L2-5,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.221,.311,.312,.623,3,1.52,0.085,0.58,6.00,6.00,1B
23,1133,23,Apr 29,CIN,@,PIT,L1-4,CG,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.238,.330,.325,.655,3,.68,0.056,0.73,8.00,9.00,1B
24,1134,24,Apr 30,CIN,@,PIT,L1-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.229,.327,.313,.640,3,.88,-0.001,-0.08,2.00,3.00,1B
25,1135,25,May 1,CIN,@,PIT,W6-5,CG(11),5,4,1,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,.230,.330,.310,.640,3,2.21,0.074,0.44,14.00,18.70,1B
26,1136,26,May 2,CIN,,SFG,L6-9,CG,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,.231,.327,.341,.668,3,1.45,0.159,1.43,18.00,25.70,1B
27,1137,27,May 3,CIN,,SFG,L1-3,CG,4,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.226,.333,.333,.667,3,1.15,0.059,0.06,4.00,6.00,1B
28,1138,28,May 4,CIN,,SFG,W7-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.330,.340,.671,3,.25,0.004,0.18,7.00,9.20,1B
29,1139,29,May 5,CIN,,MIL,W9-5,CG,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.224,.345,.337,.681,3,.45,0.014,0.41,10.00,15.40,1B
30,1140,30,May 6,CIN,,MIL,W5-1,CG,4,2,2,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,.230,.358,.370,.728,3,.40,0.112,1.34,20.00,27.90,1B
31,1141,31,May 7,CIN,,MIL,L7-13,CG(10),5,5,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,.229,.352,.362,.713,3,.68,-0.012,0.20,7.00,10.00,1B
32,1142,32,May 8,CIN,,MIL,L4-5,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.229,.348,.358,.706,3,1.07,0.012,0.47,5.00,6.50,1B
33,1143,33,May 9,CIN,,PIT,W3-2,CG,4,2,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,.234,.360,.387,.748,3,.96,0.202,1.35,18.00,24.70,1B
34,1144,34,May 11,CIN,,PIT,L4-5,9-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.234,.365,.387,.752,7,3.49,0.073,0.21,2.00,3.00,PH
35,1145,35,May 13,CIN,@,PHI,L2-3,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.228,.362,.377,.739,3,1.11,0.024,-0.29,2.00,3.00,1B
36,1146,36,May 14,CIN,@,PHI,L3-4,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,.224,.366,.371,.736,3,1.07,0.015,0.15,4.00,6.00,1B
37,1147,37,May 15,CIN,@,PHI,W9-4,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.215,.353,.355,.709,3,.49,-0.058,-1.33,0.00,0.00,1B
38,1148,38,May 16,CIN,@,CLE,L6-15,CG,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.218,.357,.363,.720,3,.54,0.084,0.65,11.00,15.40,1B
39,1149,39,May 17,CIN,@,CLE,L1-13,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.213,.350,.354,.705,3,.23,-0.019,-0.66,0.00,0.00,1B
40,1150,40,May 18,CIN,,CLE,L7-8,CG(12),6,4,1,1,1,0,0,2,2,1,2,0,0,0,0,0,0,0,.214,.356,.359,.715,3,1.99,0.182,1.19,15.00,22.20,1B
41,1151,41,May 19,CIN,,CLE,L2-7,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.215,.353,.378,.731,3,.88,0.132,0.49,16.00,22.20,1B
42,1152,42,May 20,CIN,,SEA,L3-8,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.210,.351,.370,.720,3,.82,-0.096,-0.79,4.00,6.20,1B
43,1153,43,May 21,CIN,,SEA,L0-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.204,.343,.359,.702,3,1.67,-0.171,-1.75,0.00,0.00,1B
44,1154,44,May 22,CIN,,SEA,L4-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.341,.356,.697,3,1.52,-0.010,0.24,5.00,6.20,1B
45,1155,45,May 23,CIN,@,LAD,L0-1,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.203,.341,.351,.692,3,1.41,-0.057,-0.41,2.00,3.00,1B
46,1156,46,May 24,CIN,@,LAD,L2-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.204,.339,.355,.694,2,.71,-0.014,-0.18,5.00,6.00,1B
47,1157,47,May 25,CIN,@,LAD,L1-3,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.205,.337,.353,.689,3,1.13,-0.088,-0.60,3.00,3.00,1B
48,1158,48,May 27,CIN,@,MIL,L5-9,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.206,.335,.369,.704,2,.58,0.048,0.52,14.00,18.70,1B
49,1159,49,May 28,CIN,@,MIL,W7-6,CG,5,5,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.212,.337,.376,.712,2,1.26,-0.067,0.57,14.00,18.90,1B
50,1160,50,May 29,CIN,@,MIL,L4-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.207,.330,.367,.697,2,1.13,-0.093,-0.84,0.00,0.00,1B
51,1161,51,May 30,CIN,@,COL,W11-8,CG,5,5,1,2,1,0,1,3,0,0,2,0,0,0,0,0,0,0,.213,.332,.391,.723,2,1.25,0.262,1.65,23.00,31.70,1B
52,1162,52,May 31,CIN,@,COL,L4-17,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.213,.330,.404,.735,3,.51,-0.038,-0.28,14.00,18.70,1B
53,1163,53,Jun 1,CIN,@,COL,W7-2,CG,5,3,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,.215,.336,.403,.740,3,.60,0.022,0.40,14.00,18.50,1B
54,1164,54,Jun 2,CIN,@,COL,W11-4,CG,5,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.342,.411,.753,2,.45,0.091,0.46,14.00,18.40,1B
55,1165,55,Jun 3,CIN,,WSN,W7-2,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,.222,.341,.413,.753,2,.72,-0.010,-0.69,10.00,12.00,1B
56,1166,56,Jun 4,CIN,,WSN,W6-3,CG,4,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.224,.343,.427,.771,2,1.44,0.288,1.48,20.00,28.40,1B
57,1167,57,Jun 5,CIN,,WSN,L9-10,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,.221,.345,.421,.765,2,1.55,0.022,-0.68,6.00,9.20,1B
58,1168,58,Jun 7,CIN,,STL,W7-6,CG,5,5,1,2,1,0,1,1,0,0,2,0,0,0,0,0,1,0,.225,.346,.440,.786,2,.73,0.444,0.83,24.00,30.70,1B
59,1169,59,Jun 8,CIN,,STL,L7-12,GS-9,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.230,.348,.446,.794,2,1.47,0.069,0.94,12.00,15.70,1B
60,1170,60,Jun 9,CIN,,STL,L2-3,CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.228,.351,.442,.793,2,1.61,-0.089,-0.16,6.00,9.20,1B
61,1171,61,Jun 10,CIN,,OAK,W2-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.225,.349,.435,.785,2,.98,-0.045,-0.37,2.00,3.00,1B
62,1172,62,Jun 11,CIN,,OAK,W2-1,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.226,.352,.434,.786,2,.83,0.030,0.17,7.00,9.20,1B
63,1173,63,Jun 12,CIN,,OAK,L1-6,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.231,.354,.435,.789,2,.96,0.017,0.05,6.00,6.00,1B
64,1174,64,Jun 13,CIN,@,ATL,W9-8,CG,5,3,2,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,.237,.362,.443,.805,2,1.54,0.246,1.36,16.00,21.40,1B
65,1175,65,Jun 14,CIN,@,ATL,W3-1,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.235,.364,.439,.803,2,.50,0.002,-0.08,6.00,9.20,1B
66,1176,66,Jun 15,CIN,@,ATL,L8-9,CG(13),7,5,1,2,0,0,0,1,2,0,3,0,0,0,0,0,1,0,.239,.370,.438,.808,2,1.50,0.014,0.45,19.00,24.70,1B
67,1177,67,Jun 16,CIN,@,ATL,L2-7,CG,5,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.248,.377,.443,.821,2,.71,0.129,0.93,11.00,12.00,1B
68,1178,68,Jun 17,CIN,@,HOU,W4-2,CG(11),5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.248,.378,.440,.818,2,1.40,-0.048,-0.76,5.00,6.00,1B
69,1179,69,Jun 18,CIN,@,HOU,L4-5,CG(11),5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.247,.375,.435,.810,2,1.35,-0.058,-0.46,5.00,6.20,DH
70,1180,70,Jun 19,CIN,@,HOU,L0-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.373,.432,.805,2,.75,-0.028,-0.36,3.00,3.00,1B
71,1181,73 (2),Jun 23,CIN,,SDP,L4-7,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.372,.430,.802,9,.91,-0.023,-0.23,0.00,0.00,PH
72,1182,74,Jun 24,CIN,,SDP,L4-13,CG,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.243,.372,.425,.797,2,1.46,0.005,0.10,6.00,9.20,1B
